Sample:float,Data:float
122000,0.032254219
122001,0.016737461
122002,0.036976755
122003,0.051818848
122004,0.055192053
122005,0.057890654
122006,0.057215989
122007,0.074082077
122008,0.072058141
122009,0.074756682
122010,0.080153823
122011,0.084201694
122012,0.084201694
122013,0.081503093
122014,0.096345246
122015,0.094321311
122016,0.09297204
122017,0.090948105
122018,0.098369181
122019,0.097019851
122020,0.094321311
122021,0.103766263
122022,0.100393057
122023,0.099718451
122024,0.093646646
122025,0.107139528
122026,0.101067722
122027,0.100393057
122028,0.100393057
122029,0.101067722
122030,0.098369181
122031,0.09297204
122032,0.105115592
122033,0.099043787
122034,0.101067722
122035,0.092297375
122036,0.096345246
122037,0.092297375
122038,0.086225629
122039,0.096345246
122040,0.092297375
122041,0.089598835
122042,0.099043787
122043,0.094995975
122044,0.090948105
122045,0.088249505
122046,0.09162271
122047,0.09162271
122048,0.089598835
122049,0.083527029
122050,0.101067722
122051,0.082177758
122052,0.089598835
122053,0.082852364
122054,0.094321311
122055,0.089598835
122056,0.086900234
122057,0.090948105
122058,0.09162271
122059,0.086900234
122060,0.082177758
122061,0.094995975
122062,0.08892417
122063,0.086900234
122064,0.087574899
122065,0.08892417
122066,0.085550964
122067,0.079479158
122068,0.09162271
122069,0.084876299
122070,0.083527029
122071,0.078804553
122072,0.082177758
122073,0.082852364
122074,0.078804553
122075,0.086900234
122076,0.082852364
122077,0.080153823
122078,0.073407412
122079,0.084876299
122080,0.079479158
122081,0.075431347
122082,0.077455282
122083,0.078804553
122084,0.074756682
122085,0.066661
122086,0.075431347
122087,0.067335606
122088,0.064637065
122089,0.057215989
122090,0.064637065
122091,0.055866718
122092,0.050469577
122093,0.052493513
122094,0.048445642
122095,0.042373896
122096,0.031579614
122097,0.04034996
122098,0.031579614
122099,0.026182473
122100,0.024833202
122101,0.024833202
122102,0.018761396
122103,0.012014985
122104,0.021459997
122105,0.010665715
122106,0.005943239
122107,-0.002827108
122108,0.002570033
122109,-0.007549644
122110,-0.01631999
122111,-0.016994596
122112,-0.023066401
122113,-0.031162083
122114,-0.04263103
122115,-0.035884559
122116,-0.046678841
122117,-0.03993243
122118,-0.061520994
122119,-0.060846329
122120,-0.068267405
122121,-0.076363087
122122,-0.07029134
122123,-0.076363087
122124,-0.080410957
122125,-0.088506639
122126,-0.079061687
122127,-0.085133433
122128,-0.089181304
122129,-0.085133433
122130,-0.087157369
122131,-0.090530574
122132,-0.097276986
122133,0.090948105
122134,0.087574899
122135,0.083527029
122136,0.086225629
122137,0.086900234
122138,0.083527029
122139,0.076780617
122140,0.089598835
122141,0.084201694
122142,0.063287795
122143,0.077455282
122144,0.082852364
122145,0.077455282
122146,0.071383476
122147,0.081503093
122148,0.073407412
122149,0.069359541
122150,0.061938465
122151,0.067335606
122152,0.060589194
122153,0.053842783
122154,0.059239924
122155,0.051818848
122156,0.045747101
122157,0.04034996
122158,0.044397831
122159,0.035627484
122160,0.028206408
122161,0.034952819
122162,0.026182473
122163,0.020110667
122164,0.01268965
