Sample:float,Data:float
129600,0.777767181
129601,0.669370651
129602,0.655157089
129603,0.67256546
129604,0.640310287
129605,0.464853287
129606,0.36571312
129607,0.305648804
129608,0.200792313
129609,0.326463699
129610,0.591646194
129611,0.787448883
129612,0.8846035
129613,0.985565186
129614,1.110361099
129615,1.310316086
129616,1.549901962
129617,1.686532974
129618,1.522428513
129619,1.400356293
129620,1.082126617
129621,0.827255249
129622,0.653421402
129623,0.524253845
129624,-0.298021317
129625,-0.635560989
129626,-0.430055618
129627,-0.843200684
129628,-0.042665482
129629,0.268220901
129630,0.330467224
129631,0.441139221
129632,0.69434166
129633,0.91327858
129634,1.16692543
129635,1.2442379
129636,1.285142899
129637,1.233200073
129638,1.259721756
129639,1.284399033
129640,1.267837524
129641,1.14982605
129642,1.070009232
129643,0.885730743
129644,0.93989563
129645,0.879936218
129646,0.915023804
129647,0.933216095
129648,1.008207321
129649,0.953071594
129650,0.909246445
129651,0.768325806
129652,0.597995758
129653,0.475095749
129654,0.399982452
129655,0.342206955
129656,0.517034531
129657,0.796150208
129658,0.972536087
129659,1.03613472
129660,1.068086624
129661,1.272071838
129662,1.370662689
129663,1.575426102
129664,1.662513733
129665,1.501525879
129666,1.338638306
129667,1.054904938
129668,0.823526382
129669,0.693845749
129670,0.519142151
129671,-0.275093079
129672,-0.604919434
129673,-0.305189133
129674,-0.888669968
129675,-0.11148262
129676,0.265319824
129677,0.397050858
129678,0.50170517
129679,0.76268959
129680,0.931898117
129681,1.167722702
129682,1.195505142
129683,1.128103256
129684,1.102033615
129685,1.182689667
129686,1.198011398
129687,1.112192154
129688,0.997617722
129689,0.894124985
129690,0.91668129
129691,0.878149033
129692,0.804616928
129693,0.862392426
129694,0.880548477
129695,0.910301208
129696,0.873752594
129697,0.84138298
129698,0.750455856
129699,0.581027985
129700,0.55537796
129701,0.459302902
129702,0.329454422
129703,0.58641243
129704,0.818685532
129705,0.964447021
129706,1.033983231
129707,1.08197403
129708,1.297510147
129709,1.450557709
129710,1.662963867
129711,1.632282257
129712,1.476671219
129713,1.265678406
129714,0.952907562
129715,0.730421066
129716,0.585903168
129717,0.777204514
129718,0.76789856
129719,0.671333313
129720,0.531394958
129721,0.422430038
129722,0.344697952
129723,0.222459793
129724,0.448762894
129725,0.735872269
129726,0.916074753
129727,0.95602417
129728,1.051122665
129729,1.217926025
129730,1.393571854
129731,1.567043304
129732,1.585033417
129733,1.589227676
129734,1.334506989
129735,1.091093063
129736,0.808605194
129737,0.667444229
129738,0.593502045
129739,-0.199762344
129740,-0.600902557
129741,-0.327772141
129742,-0.93122673
129743,-0.063840866
129744,0.296344757
129745,0.369634628
129746,0.535814285
129747,0.773647308
129748,0.94162178
129749,1.147075653
129750,1.165975571
129751,1.125062943
129752,1.067735672
129753,1.156801224
129754,1.105953217
129755,1.040651321
129756,1.004894257
129757,0.84239006
129758,0.839683533
129759,0.791488647
129760,0.772438049
129761,0.786088943
129762,0.784440994
129763,0.8618927
129764,0.869958878
129765,0.81004715
129766,0.69086647
129767,0.523115158
129768,0.471982956
129769,0.405923843
129770,0.333703995
129771,0.559690475
129772,0.793237686
129773,0.959789276
129774,1.037176132
129775,1.087816238
129776,1.312667847
129777,1.50548172
129778,1.702848434
129779,1.661151886
129780,1.509496689
129781,1.252391815
129782,0.995950699
129783,0.771659851
129784,0.605653763
129785,0.281490326
129786,-0.307003021
129787,-0.576965332
129788,-0.671377182
129789,-0.715129852
129790,0.209793091
129791,0.291437149
129792,0.367494583
129793,0.55529213
129794,0.773475647
129795,1.00645256
129796,1.160074234
129797,1.214992523
129798,1.195533752
129799,1.135251999
129800,1.294950485
129801,1.250017166
129802,1.124382019
129803,1.100578308
129804,0.967796326
129805,0.922199249
129806,0.902568817
129807,0.910150528
129808,0.95126915
129809,0.952451706
129810,0.941804886
129811,0.920606613
129812,0.851165771
129813,0.63435173
129814,0.472856522
129815,0.40794754
129816,0.306510925
129817,0.315553665
129818,0.580541611
129819,0.82393074
129820,0.919729233
129821,0.971857071
129822,1.101173401
129823,1.225521088
129824,1.408018112
129825,1.615356445
129826,1.582448959
129827,1.450502396
129828,1.216173172
129829,0.984220505
129830,0.754125595
129831,0.671783447
129832,0.13984108
129833,-0.400957108
129834,-0.591791153
129835,-1.072435379
129836,-0.791980743
129837,0.272596359
129838,0.381792068
129839,0.467298508
129840,0.688102722
129841,0.913011551
129842,1.09271431
129843,1.219831467
129844,1.213378906
129845,1.246295929
129846,1.252389908
129847,1.27633667
129848,1.243593216
129849,1.152896881
129850,1.132436752
129851,0.835988998
129852,0.901594162
129853,0.86249733
129854,0.825397491
129855,0.853206635
129856,0.884700775
129857,0.879402161
129858,0.853956223
129859,0.806447983
129860,0.598022461
129861,0.480836868
129862,0.454101563
129863,0.996994019
129864,1.181192398
129865,1.196844101
129866,1.185453415
129867,1.138679504
129868,1.2212677
129869,1.202074051
129870,1.140829086
129871,0.966812134
129872,0.869316101
129873,0.808700562
129874,0.790475845
129875,0.816165924
129876,0.850034714
129877,0.913534164
129878,0.871017456
129879,0.857242584
129880,0.818450928
129881,0.636514664
129882,0.461387634
129883,0.322668076
129884,0.236877441
129885,0.304656982
129886,0.540063858
129887,0.775131226
129888,0.878650665
129889,0.941820145
129890,1.08215332
129891,1.245376587
129892,1.475221634
129893,1.659921646
129894,1.586715698
129895,1.523113251
129896,1.249570847
129897,1.024150848
129898,0.85574913
129899,0.687295914
129900,0.128129959
129901,-0.374582291
129902,-0.584480286
129903,-0.910163879
129904,-0.546634674
129905,0.312091827
129906,0.402568817
129907,0.517723083
129908,0.664169312
129909,0.880725861
129910,1.041713715
129911,1.205495834
129912,1.197689056
129913,1.085536957
129914,1.099601746
129915,1.146915436
129916,1.087474823
129917,1.022068024
129918,1.036762238
129919,0.767477036
129920,0.812950134
129921,0.799747467
129922,0.791707993
129923,0.828388214
129924,0.872966766
129925,0.896404266
129926,0.896257401
129927,0.830083847
129928,0.626699448
129929,0.50910759
129930,0.431858063
129931,0.356021881
129932,0.413612366
129933,0.66059494
129934,0.865180969
129935,0.953933716
129936,1.005109787
129937,1.15622139
129938,1.361946106
129939,1.60367775
129940,1.692747116
129941,1.56076622
129942,1.438182831
129943,1.106163025
129944,0.853755951
129945,0.677694321
129946,0.537399292
129947,-0.273681641
129948,-0.500322342
129949,-0.374547958
129950,-0.643198013
129951,-0.430822372
129952,0.253965378
129953,0.30355835
129954,0.369941711
129955,0.615343094
129956,0.805858612
129957,1.027082443
129958,1.191226959
129959,1.230745316
129960,1.191555023
129961,1.666286469
129962,1.623846054
129963,1.49876976
129964,1.136699677
129965,0.969324112
129966,0.830860138
129967,0.659734726
129968,-0.073087692
129969,-0.444692612
129970,-0.497587204
129971,-1.003864288
129972,-0.306753159
129973,0.261562347
129974,0.375171661
129975,0.499612808
129976,0.674816132
129977,0.902259827
129978,1.045568466
129979,1.212081909
129980,1.203790665
129981,1.085727692
129982,1.103731155
129983,1.154747009
129984,1.116657257
129985,1.013431549
129986,0.98141861
129987,0.741363525
129988,0.805936813
129989,0.776201248
129990,0.725139618
129991,0.752576828
129992,0.791894913
129993,0.79201889
129994,0.772409439
129995,0.685060501
129996,0.576345444
129997,0.479312897
129998,0.412782669
129999,0.275930405
130000,0.862581253
130001,0.993728638
130002,0.996269226
130003,1.033939362
130004,1.124189377
130005,1.114355087
130006,1.091995239
130007,0.974773407
130008,0.903404236
130009,0.790342331
130010,0.660078049
130011,0.544754028
130012,0.495454788
130013,0.504526138
130014,-0.231513977
130015,-0.404806137
130016,-0.099632263
130017,-0.666604996
130018,0.094896317
