Sample:float,Data:float
122000,-2.371131897
122001,-2.277381897
122002,-2.293006897
122003,-2.277381897
122004,-2.230506897
122005,-2.183631897
122006,-2.183631897
122007,-2.043006897
122008,-1.964881897
122009,-1.964881897
122010,-1.902381897
122011,-1.808631897
122012,-1.730506897
122013,-1.699256897
122014,-1.574256897
122015,-1.464881897
122016,-1.402381897
122017,-1.371131897
122018,-1.246131897
122019,-1.152381897
122020,-1.105506897
122021,-1.027381897
122022,-0.918006897
122023,-0.839881897
122024,-0.808631897
122025,-0.683631897
122026,-0.574256897
122027,-0.527381897
122028,-0.449256897
122029,-0.355506897
122030,-2.746131897
122031,-2.777381897
122032,-2.730506897
122033,-2.730506897
122034,-2.793006897
122035,-2.793006897
122036,-2.777381897
122037,-2.746131897
122038,-2.824256897
122039,-2.761756897
122040,-2.777381897
122041,-2.793006897
122042,-2.824256897
122043,-2.793006897
122044,-2.777381897
122045,-2.824256897
122046,-2.808631897
122047,-2.793006897
122048,-2.793006897
122049,-2.824256897
122050,-2.777381897
122051,-2.730506897
122052,-2.746131897
122053,-2.777381897
122054,-2.761756897
122055,-2.730506897
122056,-2.746131897
122057,-2.683631897
122058,-2.652381897
122059,-2.668006897
122060,-2.668006897
122061,-2.636756897
122062,-2.543006897
122063,-2.589881897
122064,-2.558631897
122065,-2.527381897
122066,-2.496131897
122067,-2.511756897
122068,-2.464881897
122069,-2.418006897
122070,-2.433631897
122071,-2.433631897
122072,-2.339881897
122073,-2.293006897
122074,-2.339881897
122075,-2.277381897
122076,-2.199256897
122077,-2.152381897
122078,-2.168006897
122079,-2.043006897
122080,-1.980506897
122081,-1.933631897
122082,-1.886756897
122083,-1.793006897
122084,-1.699256897
122085,-1.699256897
122086,-1.527381897
122087,-1.511756897
122088,-1.355506897
122089,-1.371131897
122090,-1.214881897
122091,-1.136756897
122092,-1.121131897
122093,-1.043006897
122094,-0.933631897
122095,-0.839881897
122096,-0.808631897
122097,-0.636756897
122098,-0.574256897
122099,-0.589881897
122100,-0.449256897
122101,-0.339881897
122102,-0.230506897
122103,-0.214881897
122104,-0.105506897
122105,-0.027381897
122106,-0.027381897
122107,0.035118103
122108,0.081993103
122109,0.222618103
122110,0.222618103
122111,0.331993103
122112,0.441368103
122113,0.535118103
122114,0.581993103
122115,0.738243103
122116,0.878868103
122117,0.941368103
122118,1.081993103
122119,1.175743103
122120,1.300743103
122121,1.347618103
122122,1.488243103
122123,1.597618103
122124,1.660118103
122125,1.738243103
122126,1.847618103
122127,1.956993103
122128,1.956993103
122129,2.081993103
122130,2.191368103
122131,2.238243103
122132,2.285118103
122133,2.331993103
122134,2.410118103
122135,2.394493103
122136,2.488243103
122137,2.535118103
122138,2.535118103
122139,2.566368103
122140,2.597618103
122141,2.597618103
122142,2.581993103
122143,2.644493103
122144,2.691368103
122145,2.675743103
122146,2.706993103
122147,2.738243103
122148,2.769493103
122149,2.738243103
122150,2.800743103
122151,2.831993103
122152,2.847618103
122153,2.816368103
122154,2.831993103
122155,2.878868103
122156,2.831993103
122157,2.878868103
122158,2.863243103
122159,2.878868103
122160,2.847618103
122161,2.847618103
122162,2.894493103
122163,2.816368103
122164,2.831993103
122165,2.847618103
122166,2.847618103
122167,2.785118103
122168,2.816368103
122169,2.800743103
122170,2.753868103
122171,2.738243103
122172,2.753868103
122173,2.738243103
122174,2.660118103
122175,-0.074256897
122176,0.003868103
122177,0.050743103
122178,0.066368103
122179,0.175743103
122180,0.269493103
122181,0.316368103
122182,0.394493103
122183,0.519493103
122184,0.628868103
122185,0.706993103
122186,0.847618103
122187,0.972618103
122188,1.066368103
122189,1.113243103
122190,1.253868103
122191,1.378868103
122192,1.425743103
122193,1.566368103
122194,1.660118103
122195,1.722618103
122196,1.785118103
122197,1.894493103
122198,1.988243103
122199,2.019493103
122200,2.128868103
122201,2.222618103
122202,2.253868103
122203,2.253868103
122204,2.456993103
122205,2.503868103
122206,2.316368103
122207,2.441368103
122208,2.519493103
122209,2.550743103
122210,2.535118103
122211,2.597618103
122212,2.644493103
122213,2.581993103
122214,2.597618103
122215,2.644493103
122216,2.691368103
122217,2.644493103
122218,2.738243103
122219,2.753868103
122220,2.753868103
122221,2.753868103
122222,2.816368103
122223,2.831993103
122224,2.800743103
122225,2.847618103
122226,2.863243103
122227,2.878868103
122228,2.816368103
122229,2.863243103
122230,2.925743103
122231,2.941368103
122232,2.831993103
122233,2.847618103
122234,2.847618103
122235,2.785118103
122236,2.816368103
122237,2.847618103
122238,2.816368103
122239,2.706993103
122240,2.753868103
122241,2.769493103
122242,2.706993103
122243,2.706993103
122244,2.691368103
